UF,MS
Cidade,ROCHEDO
Nome Posto,ROCHEDO
Latitude,-19.953333333333333
Longitude,-54.87861111111111
Codigo,1954002
Qtd. Anos,45
Ano,Maxima
1967,116
1968,56.4
1969,114.6
1970,87
1971,84.8
1972,70.6
1976,979.2
1977,77
1978,94
1979,83.8
1980,94.8
1981,69.2
1982,61
1983,76.4
1989,54.2
1990,73.6
1991,76.2
1992,112
1993,50.2
1994,75
1995,73
1996,82.3
1997,123.7
1998,87.6
1999,44.3
2000,88.2
2001,100
2002,90
2003,63
2004,51.2
2005,72
2006,56.5
2007,53
2008,84
2009,130.2
2010,88
2011,91.3
2012,69.2
2013,76.5
2014,89
2015,124.2
2016,93.9
2017,93.5
2018,97.1
2019,53.9
