UF,MS
Cidade,APARECIDA DO TABOADO
Nome Posto,APARECIDA DO TABOADO
Latitude,-20.06833333333333
Longitude,-51.103611111111114
Codigo,2051046
Qtd. Anos,37
Ano,Maxima
1983,60.4
1984,101.4
1985,50
1986,75
1987,50
1988,50
1989,54
1990,40
1991,63
1992,51.4
1993,60
1994,82.1
1995,86
1996,72.3
1997,80
1998,53.1
1999,83.5
2000,87
2001,121.5
2002,59.1
2003,74.8
2004,81.1
2005,83.1
2006,58.5
2007,68.2
2008,85.2
2009,115.6
2010,84.1
2011,93.4
2012,69.1
2013,75.1
2014,79.3
2015,76.5
2016,211.8
2017,103.2
2018,51.3
2019,57.9
