UF,MS
Cidade,LAGUNA CARAPA
Nome Posto,BOCAJA
Latitude,-22.731944444444444
Longitude,-55.242222222222225
Codigo,2255003
Qtd. Anos,37
Ano,Maxima
1984,72
1985,105
1986,106.8
1987,76.4
1988,79.2
1989,99.7
1990,109.9
1991,82.7
1992,35.6
1993,76.9
1994,76
1995,85.2
1996,78.8
1997,68.7
1998,92
1999,88.2
2000,142.3
2001,79.5
2002,120
2003,103.1
2004,81.3
2005,80.5
2006,80.5
2007,108.4
2008,97.9
2009,130
2010,175
2011,97.5
2012,105
2013,104
2014,93.3
2015,55.5
2016,63.3
2017,67.2
2018,108.2
2019,120.2
2020,55.3
