UF,MS
Cidade,AQUIDAUANA
Nome Posto,ENTRE RIOS
Latitude,-19.696666666666665
Longitude,-56.282777777777774
Codigo,1956003
Qtd. Anos,51
Ano,Maxima
1958,70.1
1959,70
1960,95
1961,81.4
1962,58
1963,67.7
1964,67.3
1965,89.5
1966,80.3
1967,60.6
1968,94.3
1969,126.3
1970,78.5
1971,105.7
1972,130
1976,86.1
1977,60.2
1978,83.5
1979,100.3
1980,113
1981,98.7
1982,125.6
1983,135
1992,92
1993,58.2
1994,97.9
1995,97.1
1996,74.2
1997,106.9
1998,137.2
1999,121
2000,66.6
2001,112.3
2002,46.8
2003,87.4
2004,107.8
2005,73.8
2006,98
2007,73.1
2008,76.2
2009,107.5
2010,120
2011,58.1
2012,110
2013,74
2014,142.7
2015,63.1
2016,67.3
2017,91.4
2018,99.9
2019,65.3
