UF,MS
Cidade,MARACAJU
Nome Posto,MARACAJU
Latitude,-21.61861111111111
Longitude,-55.136944444444445
Codigo,2155000
Qtd. Anos,48
Ano,Maxima
1972,101
1973,61
1974,77.2
1975,103.8
1976,107
1977,85.6
1978,90
1979,62.8
1980,99.6
1981,120
1982,133
1983,80.6
1984,112
1985,80
1986,60.4
1987,80
1988,100.4
1989,108.4
1990,57
1991,120
1992,128
1993,147
1994,60.3
1995,80.5
1996,65.4
1997,98.1
1998,97.7
1999,48
2000,84.5
2001,68.8
2002,72
2003,79.5
2004,90.7
2005,155.5
2006,96.2
2007,70.6
2008,57.4
2009,56.5
2010,82.1
2011,85
2012,81.3
2013,125.8
2014,100.2
2015,75.7
2016,105.3
2017,83.1
2018,98.8
2019,127.5
