UF,MS
Cidade,RIO BRILHANTE
Nome Posto,AROEIRA
Latitude,-21.647222222222222
Longitude,-54.42527777777777
Codigo,2154000
Qtd. Anos,48
Ano,Maxima
1972,73
1973,55.5
1974,60.2
1975,80.9
1976,77
1977,58
1978,86
1979,50.8
1980,56.4
1981,75.8
1982,75.9
1983,57
1984,64
1985,75
1986,75.4
1987,142
1988,87
1989,67
1990,73
1991,74.2
1992,74.2
1993,100
1994,55.7
1995,90.9
1996,82.4
1997,90.7
1998,95
1999,55.2
2000,77.7
2001,87.2
2002,63.6
2003,63.3
2004,72.6
2005,95.5
2006,88.9
2007,67.7
2008,57.2
2009,90
2010,73.5
2011,102.4
2012,144.7
2013,136.5
2014,155.6
2015,81.3
2016,120
2017,73.2
2018,97.3
2019,84.3
