UF,MS
Cidade,RIO VERDE DE MATO GROSSO
Nome Posto,CONFLUENCIA DO RIO JAURU
Latitude,-18.730277777777776
Longitude,-54.578611111111115
Codigo,1854006
Qtd. Anos,35
Ano,Maxima
1984,70.9
1985,140.4
1986,79
1987,82
1988,111
1989,79.3
1990,167
1992,96.2
1993,121.9
1994,77.7
1995,106.7
1996,57.5
1997,86.8
1998,89.3
1999,82.3
2000,80.9
2001,81.5
2002,66.3
2003,58.3
2004,89.1
2005,84.9
2006,81.2
2007,51.7
2008,147.9
2009,94
2010,70.5
2011,151
2012,117.3
2013,74.1
2014,70.7
2015,73.5
2016,80.3
2017,66.5
2018,88.7
2019,50.2
