UF,MS
Cidade,AGUA CLARA
Nome Posto,ALTO RIO VERDE
Latitude,-19.376944444444444
Longitude,-53.569722222222225
Codigo,1953000
Qtd. Anos,37
Ano,Maxima
1983,54
1984,65
1985,81
1986,90.8
1987,58
1988,72.3
1989,70
1990,41.1
1991,122.2
1992,148.7
1993,139.1
1994,101.8
1995,138.8
1996,45.6
1997,333.7
1998,80.3
1999,48
2000,75.6
2001,91.8
2002,87.9
2003,150.8
2004,77.4
2005,113.6
2006,94.5
2007,93.3
2008,43.7
2009,104.1
2010,64.8
2011,100.7
2012,81.8
2013,88
2014,96.4
2015,131.5
2016,68.9
2017,116
2018,140.6
2019,116.4
