UF,MS
Cidade,FIGUEIRAO
Nome Posto,COLONIA FIGUEIRAO
Latitude,-18.679722222222225
Longitude,-53.63777777777778
Codigo,1853005
Qtd. Anos,36
Ano,Maxima
1984,86.3
1985,113.9
1986,108.6
1987,66.4
1988,75
1989,96.2
1990,71.2
1991,73.2
1992,75.7
1993,89.6
1994,84.1
1995,105.6
1996,65.3
1997,107.4
1998,110.8
1999,62.5
2000,69.2
2001,82.5
2002,49.2
2003,115.2
2004,174.2
2005,336.9
2006,95.2
2007,65.3
2008,91.5
2009,96.3
2010,63.9
2011,96.3
2012,99.6
2013,95.6
2014,113.7
2015,71.5
2016,136.6
2017,102.3
2018,87.2
2019,59.3
