UF,MS
Cidade,NAVIRAI
Nome Posto,FAZENDA VACA BRANCA
Latitude,-23.072777777777777
Longitude,-53.82055555555556
Codigo,2353048
Qtd. Anos,37
Ano,Maxima
1984,80
1985,86
1986,75.2
1987,74.2
1988,61
1989,98
1990,54.3
1991,77.2
1992,127.5
1993,78
1994,73
1995,106
1996,105.8
1997,140
1998,138.7
1999,87
2000,143
2001,70.1
2002,106.3
2003,77.4
2004,113.1
2005,742
2006,70.8
2007,49.7
2008,100.1
2009,106.3
2010,82.6
2011,74.5
2012,118
2013,77
2014,62.4
2015,132.6
2016,97
2017,144.5
2018,60.4
2019,106.3
2020,63.7
