UF,MS
Cidade,RIBAS DO RIO PARDO
Nome Posto,LANCEIRO
Latitude,-21.022777777777776
Longitude,-53.536944444444444
Codigo,2153004
Qtd. Anos,36
Ano,Maxima
1984,58.9
1985,50.4
1986,57.2
1987,117.4
1988,83.6
1989,102.4
1990,109.2
1991,86.4
1992,108
1993,77.5
1994,80
1995,72.7
1996,76.3
1997,85.1
1998,77.8
1999,72.8
2000,80
2001,54.4
2002,91.5
2003,68.5
2004,109.5
2005,105.4
2006,84.3
2007,81.9
2008,76.4
2009,83.6
2010,86.6
2011,104.8
2012,150.9
2013,110.1
2014,110.9
2015,134
2016,121.4
2017,140.1
2018,82.4
2019,98
