UF,MS
Cidade,PARANAIBA
Nome Posto,FAZENDA PINDORAMA
Latitude,-19.390833333333333
Longitude,-51.60888888888889
Codigo,1951003
Qtd. Anos,37
Ano,Maxima
1983,63.8
1984,96
1985,50
1986,78.4
1987,66
1988,80
1989,85
1990,59
1991,137
1992,75.2
1993,94.9
1994,56.2
1995,74
1996,90.3
1997,74
1998,52.6
1999,76.2
2000,81.3
2001,85.4
2002,132.3
2003,89.7
2004,77.3
2005,66.9
2006,68.5
2007,116.6
2008,91
2009,92.6
2010,150
2011,130.7
2012,75
2013,101.6
2014,74
2015,71.5
2016,102.5
2017,77.7
2018,91.3
2019,77.5
