UF,MS
Cidade,TRES LAGOAS
Nome Posto,PORTO VELHO
Latitude,-20.800555555555555
Longitude,-52.388333333333335
Codigo,2152000
Qtd. Anos,48
Ano,Maxima
1972,49
1973,79.2
1974,91
1975,84.2
1976,65.3
1977,63.4
1978,72.3
1979,62.2
1980,90.2
1981,59.3
1982,73.4
1983,96
1984,61
1985,55.4
1986,76.4
1987,66.8
1988,68.2
1989,74
1990,76
1991,75
1992,60
1993,92.2
1994,90.5
1995,102.3
1996,135.5
1997,89.3
1998,62
1999,90.9
2000,66.2
2001,67.8
2002,62.1
2003,99.4
2004,113.3
2005,95.6
2006,111.2
2007,67.6
2008,59.2
2009,80.4
2010,71.2
2011,57.5
2012,80.6
2013,81.2
2014,78.1
2015,91.4
2016,71
2017,117.1
2018,94
2019,52.2
