UF,MS
Cidade,TERENOS
Nome Posto,JARAGUA
Latitude,-20.493055555555557
Longitude,-54.811388888888885
Codigo,2054005
Qtd. Anos,48
Ano,Maxima
1963,72
1964,77
1965,73
1966,75
1967,92
1968,109
1969,131
1970,90
1971,74.6
1972,57.4
1976,58.8
1977,136.5
1978,89
1979,82.1
1980,68.9
1981,68.2
1982,93.9
1983,106.5
1990,94
1991,107
1992,120.3
1993,91.2
1994,62.5
1995,90
1996,94.4
1997,104.2
1998,108
1999,72.5
2000,99.7
2001,115
2002,90.1
2003,109.4
2004,80
2005,135
2006,130.4
2007,118.5
2008,83
2009,129.5
2010,59.1
2011,136
2012,91
2013,87
2014,99.4
2015,80
2016,110
2017,67
2018,60
2019,85
