UF,MS
Cidade,PEDRO GOMES
Nome Posto,PEDRO GOMES
Latitude,-18.09861111111111
Longitude,-54.54722222222222
Codigo,1854001
Qtd. Anos,45
Ano,Maxima
1968,107
1969,57
1970,75.2
1971,44
1972,89.4
1973,175
1974,103.8
1975,117.4
1976,100.8
1977,128.2
1978,111.6
1979,110.3
1980,115
1981,80.4
1982,146.3
1983,64.4
1989,98.2
1992,65.2
1993,81.6
1994,46.8
1995,75
1996,52.8
1997,98.4
1998,93.6
1999,75.3
2000,134.8
2001,85.4
2002,113.2
2003,67.6
2004,88
2005,99.8
2006,120.6
2007,97.8
2008,90.8
2009,93.5
2010,85.2
2011,82.3
2012,75.4
2013,58.4
2014,95
2015,62.7
2016,84.7
2017,55.4
2018,96.6
2019,65.2
