UF,MS
Cidade,RIBAS DO RIO PARDO
Nome Posto,VISTA ALEGRE
Latitude,-19.784722222222225
Longitude,-53.96388888888889
Codigo,1953001
Qtd. Anos,37
Ano,Maxima
1983,70.9
1984,60
1985,58
1986,60.8
1987,61.1
1988,46.2
1989,50.3
1990,75.3
1991,55
1992,79.7
1993,115
1994,99
1995,72
1996,75
1997,110.4
1998,101.6
1999,67.7
2000,92.9
2001,114.6
2002,75.9
2003,109
2004,62.2
2005,66.6
2006,67.4
2007,83.6
2008,101.6
2009,62.9
2010,56.3
2011,123.3
2012,100
2013,155.8
2014,75.5
2015,94
2016,101
2017,88
2018,70
2019,75.3
