UF,MS
Cidade,CORONEL SAPUCAIA
Nome Posto,CORONEL SAPUCAIA
Latitude,-23.266111111111112
Longitude,-55.52444444444444
Codigo,2355001
Qtd. Anos,37
Ano,Maxima
1984,54
1985,52
1986,76.2
1987,88.2
1988,126
1989,81
1990,97
1991,107.2
1992,45.4
1993,91
1994,84.2
1995,78.8
1996,96.6
1997,90.2
1998,78.2
1999,84.6
2000,94.2
2001,96.7
2002,406
2003,120.3
2004,122.7
2005,61.3
2006,140.9
2007,110.9
2008,76.9
2009,79.2
2010,106.3
2011,79.3
2012,82.4
2013,74.1
2014,84.3
2015,112.8
2016,85.4
2017,98.5
2018,97.3
2019,190.3
2020,62.4
