UF,MS
Cidade,CORUMBA
Nome Posto,PORTO DO ALEGRE
Latitude,-17.623333333333335
Longitude,-56.965
Codigo,1756003
Qtd. Anos,46
Ano,Maxima
1969,54.8
1970,51.6
1971,94.2
1972,75.6
1976,86
1977,91.6
1978,125.9
1979,71.2
1980,166.4
1981,171.1
1982,99.8
1983,148.5
1984,349.6
1985,221.9
1986,67.3
1990,71.2
1991,104.4
1992,136
1993,110.4
1994,83.2
1995,81.4
1996,63.4
1997,67.6
1998,114.2
1999,72.2
2000,96.1
2001,85.9
2002,104.6
2003,107.3
2004,69
2005,107.3
2006,83.1
2007,63.3
2008,53.9
2009,82
2010,90.3
2011,60.6
2012,64
2013,86.3
2014,119.9
2015,65.5
2016,120
2017,111.5
2018,72
2019,80.3
2020,32.6
