UF,MS
Cidade,SONORA
Nome Posto,POSTO CORRENTES (MT-163)
Latitude,-17.586944444444445
Longitude,-54.75666666666667
Codigo,1754002
Qtd. Anos,35
Ano,Maxima
1969,139.5
1970,59.6
1971,62.1
1972,53.9
1976,82
1977,131.1
1978,96
1982,138.9
1983,67.7
1994,45
1995,48.6
1996,103.3
1997,72.5
1998,102.1
1999,77.5
2000,99.5
2001,88
2002,100.6
2003,59.7
2004,111.5
2005,76.8
2006,73.8
2007,110.4
2008,78.9
2009,68.1
2010,79.2
2011,112.2
2012,103.1
2013,75.1
2014,99.3
2015,47.8
2016,89
2017,63.1
2018,98.7
2019,101.2
