UF,MS
Cidade,BATAYPORA
Nome Posto,BATAIPORA
Latitude,-22.298611111111114
Longitude,-53.280277777777776
Codigo,2253014
Qtd. Anos,37
Ano,Maxima
1984,93.2
1985,71
1986,59
1987,55.5
1988,93.6
1989,98.1
1990,94.2
1991,76.7
1992,51.3
1993,27.4
1994,102.3
1995,85.2
1996,90.6
1997,82.1
1998,74
1999,88.2
2000,75.6
2001,74.8
2002,115.8
2003,99.6
2004,82.7
2005,86.7
2006,67.9
2007,147.5
2008,72.9
2009,102.3
2010,153.7
2011,65.3
2012,125.7
2013,109.5
2014,73.1
2015,121.1
2016,73.8
2017,81.6
2018,90.1
2019,56.8
2020,46.7
