UF,MS
Cidade,CAMAPUA
Nome Posto,CAMAPUA
Latitude,-19.496666666666666
Longitude,-53.99666666666667
Codigo,1954004
Qtd. Anos,44
Ano,Maxima
1968,39.6
1969,70.6
1970,52.6
1971,126
1972,106.4
1976,83.2
1977,123.6
1978,55.2
1979,64.8
1980,109.4
1981,110
1982,78
1983,65
1989,70
1990,54
1991,93
1992,118
1993,94
1994,119
1995,77
1996,92.7
1997,144.7
1998,100.9
1999,63.1
2000,75.3
2001,162.2
2002,101.8
2003,120.4
2004,94.7
2005,101.6
2006,80
2007,90
2008,90.2
2009,111.3
2010,100.4
2011,78.5
2012,64
2013,69.4
2014,100
2015,85.2
2016,92.3
2017,60.1
2018,120
2019,90
