UF,MS
Cidade,SIDROLANDIA
Nome Posto,VAU DO BALSAMO
Latitude,-20.99388888888889
Longitude,-54.50805555555556
Codigo,2154002
Qtd. Anos,47
Ano,Maxima
1973,80
1974,73
1975,101.8
1976,65.1
1977,80.8
1978,52.8
1979,64.6
1980,77.4
1981,85.4
1982,119.4
1983,93.5
1984,128.3
1985,80.6
1986,78.8
1987,159.8
1988,75.3
1989,67.9
1990,96
1991,76.3
1992,106.6
1993,80
1994,97.3
1995,65.5
1996,79
1997,96.2
1998,63.3
1999,249.7
2000,47.5
2001,63
2002,86.6
2003,86.6
2004,64.6
2005,95.3
2006,86.6
2007,67.7
2008,82.8
2009,76.9
2010,61.9
2011,127.3
2012,88
2013,78
2014,111
2015,56
2016,87.8
2017,110.5
2018,106.7
2019,92.1
