UF,MS
Cidade,RIBAS DO RIO PARDO
Nome Posto,USINA MIMOSO
Latitude,-20.676944444444445
Longitude,-53.57138888888889
Codigo,2053001
Qtd. Anos,37
Ano,Maxima
1983,60.2
1984,62
1985,54.2
1986,89
1987,79.2
1988,104
1989,99.7
1990,84.5
1991,70.7
1992,68
1993,67
1994,66
1995,61
1996,99.7
1997,76.8
1998,77.5
1999,74.6
2000,59.7
2001,81.3
2002,99.1
2003,71
2004,76.1
2005,110.4
2006,130
2007,69.9
2008,70
2009,55.2
2010,66.6
2011,130.6
2012,90
2013,59.7
2014,108.5
2015,75.9
2016,99.5
2017,78.6
2018,76.4
2019,73.6
