UF,MS
Cidade,SIDROLANDIA
Nome Posto,CAPAO BONITO
Latitude,-21.18277777777778
Longitude,-54.74611111111111
Codigo,2154007
Qtd. Anos,36
Ano,Maxima
1984,69.2
1985,72.4
1986,62.3
1987,155
1988,70.7
1989,93.5
1990,80.3
1991,94
1992,91
1993,93.8
1994,65
1995,83.2
1996,64.7
1997,140.9
1998,96.6
1999,47.7
2000,65.1
2001,79.3
2002,110.5
2003,76.5
2004,65.6
2005,103.2
2006,69.5
2007,85.9
2008,74.3
2009,96.7
2010,105.3
2011,77.9
2012,64.1
2013,92.2
2014,106.1
2015,124.2
2016,94.2
2017,93.7
2018,67.4
2019,65
