UF,MS
Cidade,COXIM
Nome Posto,COXIM
Latitude,-18.504166666666666
Longitude,-54.75555555555555
Codigo,1854004
Qtd. Anos,38
Ano,Maxima
1965,35.7
1966,85
1967,96
1968,70.2
1969,133.1
1970,80.3
1971,108.2
1972,104.6
1973,94.3
1976,54.4
1977,82.7
1978,180.8
1979,102.5
1980,51
1981,39.9
1982,38.7
1983,47
1999,64.2
2000,96.9
2001,67.3
2002,72.8
2003,91.5
2004,140.6
2005,102.1
2006,86.2
2007,55.9
2008,134.4
2009,157.1
2010,93.5
2011,76.8
2012,128.9
2013,62.2
2014,90.5
2015,88
2016,89.1
2017,87.7
2018,68.5
2019,77.6
