UF,MS
Cidade,CORUMBA
Nome Posto,AMOLAR
Latitude,-18.040277777777778
Longitude,-57.490833333333335
Codigo,1857001
Qtd. Anos,40
Ano,Maxima
1968,37.1
1969,60.5
1970,50.7
1971,100.4
1972,86
1976,61.2
1977,0.8
1978,86.2
1982,125.4
1983,125.4
1989,98.6
1990,84.6
1991,92.6
1993,18.8
1994,205.9
1995,87.3
1996,83.3
1997,64.3
1998,98.5
1999,78.5
2000,151.1
2001,93.2
2002,86.7
2003,75
2004,93.6
2005,104.5
2006,72.2
2007,60
2008,93.7
2009,88.2
2010,95.1
2011,113.8
2012,450
2013,71.2
2014,126.1
2015,52
2016,93.4
2017,104
2018,93.6
2019,60
