UF,MS
Cidade,CAARAPO
Nome Posto,CAARAPO
Latitude,-22.624444444444446
Longitude,-54.82472222222223
Codigo,2254000
Qtd. Anos,44
Ano,Maxima
1972,100
1973,75
1974,78.4
1975,100
1976,82.9
1977,104.7
1978,67
1979,76.4
1980,129.8
1981,73.2
1982,78.1
1983,84.1
1984,75.1
1985,163
1986,63.6
1987,62.2
1988,87.6
1989,91
1995,80.8
1996,60.6
1997,80.6
1998,80.1
1999,76.9
2000,72
2001,76.6
2002,72.2
2003,72.6
2004,78
2005,96
2006,70.3
2007,73
2008,138
2009,159
2010,128
2011,100
2012,103
2013,84
2014,67
2015,112.3
2016,105.5
2017,110
2018,133
2019,88.8
2020,34
