UF,MS
Cidade,GUIA LOPES DA LAGUNA
Nome Posto,JARDIM
Latitude,-21.440555555555555
Longitude,-56.090833333333336
Codigo,2156001
Qtd. Anos,44
Ano,Maxima
1968,64
1969,117.6
1970,64.8
1971,94.4
1972,94
1973,120
1974,96
1975,72.2
1976,105
1977,69.6
1978,80.5
1979,103
1980,85
1981,77
1982,100.8
1983,119.6
1989,70
1992,43.5
1993,58
1994,64.5
1995,92.2
1996,50.3
1997,106.2
1998,108.8
1999,124.2
2000,68.5
2001,92.6
2002,72.3
2003,121.3
2004,70.2
2005,78.1
2006,68.7
2007,127.3
2008,72
2009,57.2
2010,126.5
2011,73.8
2012,83.8
2013,33.8
2014,82.3
2016,65.5
2017,100
2018,120.1
2019,123.1
