UF,MS
Cidade,COXIM
Nome Posto,CACHOEIRA POLVORA
Latitude,-18.190555555555555
Longitude,-54.257777777777775
Codigo,1853002
Qtd. Anos,38
Ano,Maxima
1971,38.6
1972,67.4
1976,74.8
1977,92
1978,86
1979,56
1980,75
1981,87
1982,79.4
1983,74.5
1992,51.5
1993,72.5
1994,58.9
1995,95.6
1996,61.3
1997,98.9
1998,77.3
1999,61.5
2000,71.3
2001,124.2
2002,70.6
2003,79.3
2004,82.9
2005,76.1
2006,132.8
2007,60.2
2008,68.9
2009,73.4
2010,59.6
2011,79
2012,83.8
2013,60
2014,91.3
2015,92.1
2016,117.3
2017,97.6
2018,80
2019,68.7
