UF,MS
Cidade,PORTO MURTINHO
Nome Posto,SANTA OTILIA
Latitude,-21.191944444444445
Longitude,-57.03916666666667
Codigo,2157003
Qtd. Anos,40
Ano,Maxima
1970,44.1
1971,75.6
1972,100.7
1976,115.3
1977,126.5
1978,109.5
1979,130.7
1980,87
1981,174.1
1982,100
1983,50
1989,55.5
1992,26.3
1993,164.4
1994,120
1995,112
1996,113
1997,160.3
1998,83
1999,164
2000,70.6
2001,110
2002,92.8
2003,118.3
2004,97.8
2005,115.2
2006,119
2007,98.8
2008,68.8
2009,86.8
2010,83
2011,207.8
2012,70.6
2013,48.6
2014,147.5
2015,57
2016,108.6
2017,139.7
2018,115.5
2019,93.4
