UF,MS
Cidade,AQUIDAUANA
Nome Posto,CIPOLANDIA
Latitude,-20.12777777777778
Longitude,-55.39333333333333
Codigo,2055001
Qtd. Anos,44
Ano,Maxima
1969,42.2
1970,111
1971,59.2
1972,84
1976,100.1
1977,81.2
1978,119.5
1979,105.4
1980,99.5
1981,70
1982,105
1983,168.2
1989,50.8
1990,105.4
1991,65
1992,74
1993,63
1994,152
1995,97
1996,63
1997,215
1998,87.5
1999,90.2
2000,175.6
2001,82.9
2002,93.5
2003,121.9
2004,70
2005,85
2006,119
2007,38.5
2008,63.8
2009,72.2
2010,85.3
2011,91.2
2012,53.5
2013,145
2014,145
2015,72.2
2016,125
2017,107.7
2018,96.5
2019,107.4
2020,75.9
