UF,MS
Cidade,PORTO MURTINHO
Nome Posto,MARABA
Latitude,-21.68888888888889
Longitude,-57.359722222222224
Codigo,2157005
Qtd. Anos,39
Ano,Maxima
1976,115.4
1977,97.6
1978,70
1979,85
1980,137.2
1981,68.4
1982,93
1983,108.2
1989,80.2
1990,59
1991,83
1992,53.5
1993,74.3
1994,136
1995,105
1996,119
1997,164.9
1998,114.4
1999,40
2000,78.4
2001,97.7
2002,82.1
2003,119.3
2004,156.1
2005,96.2
2006,52
2007,90
2008,103
2009,89.5
2010,198.7
2011,147
2012,86
2013,197.8
2014,120
2015,128
2016,101.5
2017,58
2018,93
2019,117.6
