UF,MS
Cidade,DOIS IRMAOS DO BURITI
Nome Posto,PALMEIRAS
Latitude,-20.448888888888888
Longitude,-55.43083333333333
Codigo,2055002
Qtd. Anos,41
Ano,Maxima
1971,70.8
1972,95
1976,112.2
1977,38.3
1978,89.1
1979,80
1980,100
1981,225
1982,106
1983,75
1989,65
1991,42
1992,66
1993,52
1994,141
1995,88
1996,67
1997,116
1998,85
1999,71
2000,135.7
2001,95.3
2002,78.4
2003,97
2004,107.6
2005,101.2
2006,133
2007,98.7
2008,48.3
2009,53.9
2010,73.1
2011,177.4
2012,85.7
2013,59.5
2014,143
2015,81.1
2016,95.8
2017,73.5
2018,124.3
2019,75.8
2020,48.4
