UF,MS
Cidade,MIRANDA
Nome Posto,GUAICURUS
Latitude,-20.101944444444445
Longitude,-56.79527777777778
Codigo,2056005
Qtd. Anos,82
Ano,Maxima
1926,41
1927,185
1928,69
1929,91
1930,155.5
1931,136
1932,107
1933,146
1934,102
1935,150
1936,83
1937,76
1938,200
1939,141
1940,301
1941,119
1942,120
1943,88
1944,129
1945,115
1946,82
1947,185
1948,135
1949,131
1950,79
1951,78
1952,88
1953,98
1954,98
1955,96
1956,69
1957,85
1958,122
1959,84
1960,68
1961,87
1962,63
1963,84
1964,168
1965,90
1966,99
1967,80
1968,122
1969,115.8
1970,120
1971,80
1972,95
1976,102
1977,106
1978,100.5
1979,49
1980,83
1981,92.5
1982,102
1983,101
1989,49
1992,45
1993,121.8
1994,133.7
1995,73.5
1996,95.5
1997,77.5
1998,82.4
1999,113.3
2000,115.5
2001,154.9
2002,87.1
2003,97.5
2004,79.4
2005,143.5
2006,56.2
2007,56.2
2008,202.7
2009,101.2
2010,94.6
2011,104
2014,57.2
2015,75.7
2016,122
2017,49.4
2018,58.7
2019,85.6
