UF,MS
Cidade,BONITO
Nome Posto,BONITO
Latitude,-21.118333333333332
Longitude,-56.480000000000004
Codigo,2156000
Qtd. Anos,44
Ano,Maxima
1968,45.2
1969,77.3
1970,101.1
1971,87.2
1972,74.1
1976,127
1977,100.1
1978,115
1979,142
1980,64.1
1981,85
1982,68
1983,59
1989,106
1990,30
1991,115
1992,105
1993,109.8
1994,100
1995,70
1996,82.6
1997,88
1998,55.4
1999,138.6
2000,97.2
2001,86.3
2002,116
2003,136
2004,119.4
2005,88.8
2006,68.7
2007,62
2008,94.4
2009,75.4
2010,85.8
2011,112.6
2012,75.8
2013,67.8
2014,66.8
2015,57.8
2016,77.5
2017,86.2
2018,127.6
2019,102.8
