UF,SP
Cidade,SAO JOSE DO BARREIRO
Nome Posto,FAZENDA DAS GARRAFAS
Latitude,-22.73611111111111
Longitude,-44.62694444444445
Codigo,2244135
Qtd. Anos,40
Ano,Maxima
1981,77.6
1982,46.4
1983,80.3
1984,125.1
1985,119.2
1986,93.4
1987,79.6
1988,107.6
1989,77.5
1990,65
1991,118.7
1992,76.6
1993,71.2
1994,84.8
1995,96.2
1996,68.8
1997,87.9
1998,81.6
1999,92.5
2000,147.1
2001,70
2002,67.2
2003,88.2
2004,58.8
2005,52.2
2006,68.3
2007,93.5
2008,87.3
2009,104.9
2010,68
2011,91.9
2012,68.9
2013,83.2
2014,103.3
2015,102.2
2016,52.3
2017,82.1
2018,84.5
2019,114.5
2020,67.2
