UF,SP
Cidade,ITATIBA
Nome Posto,ITATIBA
Latitude,-23.016666666666666
Longitude,-46.833333333333336
Codigo,2346001
Qtd. Anos,76
Ano,Maxima
1936,21
1939,35.5
1940,69.2
1941,67.2
1942,60.2
1943,39.5
1944,48
1945,68.9
1946,70.5
1947,86.8
1948,80.4
1949,67.1
1950,90.8
1951,67.2
1952,78.2
1953,48.6
1954,65.7
1955,78.2
1956,76.3
1957,85.3
1958,83.2
1959,120
1960,82.8
1961,59
1962,82
1963,77.5
1964,76
1965,116.5
1966,51.1
1967,59
1968,46
1969,39
1970,114
1971,81
1972,85.6
1973,88.5
1974,73.4
1975,70.6
1976,71.2
1977,65.2
1978,71.6
1979,83.9
1980,45.6
1981,46.4
1982,65.8
1983,101.7
1984,62.2
1985,57.7
1986,68.2
1987,334.4
1988,80.5
1989,92.3
1990,64.1
1991,82.5
1992,103.5
1993,74
1994,68
1995,73
1996,82.9
1997,57.8
1998,99
1999,66.9
2000,59.2
2001,75.5
2002,64.5
2003,96.2
2004,83
2005,108.7
2006,65.3
2007,54
2008,54.6
2009,76.3
2010,72.2
2011,87.7
2012,56.8
2013,48.8
