UF,SP
Cidade,ITAPIRAPUA PAULISTA
Nome Posto,ITAPIRAPUA
Latitude,-24.566666666666666
Longitude,-49.166666666666664
Codigo,2449016
Qtd. Anos,44
Ano,Maxima
1969,88.1
1970,90.9
1971,49.6
1972,58.7
1973,92.9
1974,65.1
1975,72.3
1976,62.3
1977,38.3
1978,61
1979,61.3
1980,66.6
1981,55.7
1982,66.5
1983,85.3
1984,60.3
1985,69.7
1986,61.5
1987,61.7
1988,54.6
1989,137.5
1990,53.2
1991,41.5
1992,81.9
1993,70.5
1994,68.6
1995,60.9
1996,122.8
1997,65.4
1998,107.9
1999,69.5
2005,62
2006,69.3
2007,82.7
2008,54.8
2009,64.1
2010,74.9
2012,59.5
2013,59
2014,92.3
2015,110
2016,74.8
2017,111.9
2018,72.7
