UF,SP
Cidade,ELDORADO
Nome Posto,ITAPEUNA
Latitude,-24.6
Longitude,-48.21666666666667
Codigo,2448018
Qtd. Anos,70
Ano,Maxima
1939,50.1
1940,28
1941,50
1942,55.2
1943,69
1944,72.7
1945,78.4
1946,77.8
1947,50.3
1948,52.5
1949,42.4
1950,90
1951,46.5
1952,230
1953,47
1954,60.3
1955,76.5
1957,94.4
1958,62.4
1959,62.2
1960,141.7
1961,76
1962,61.1
1963,94.2
1964,66.5
1965,90
1966,62.9
1967,61.5
1968,76
1969,63.4
1970,64.5
1971,61
1972,70.8
1973,57.5
1974,98.7
1975,71.8
1976,57.5
1977,75.3
1978,118.7
1979,56.1
1980,61.5
1981,103.9
1982,73.2
1983,66.4
1984,60.7
1985,56.4
1986,78.4
1987,110.3
1988,78.1
1989,103.7
1990,76.3
1991,60.4
1992,65.3
1993,110.3
1994,70
1995,138.4
1996,64.8
1997,90.7
1998,84.6
1999,112.6
2000,85.6
2001,49
2007,45.9
2008,65.2
2009,81.5
2010,73.9
2011,107.5
2012,89.1
2013,66.5
2014,80.1
