UF,SP
Cidade,MENDONCA
Nome Posto,MENDONCA
Latitude,-21.183333333333334
Longitude,-49.583333333333336
Codigo,2149005
Qtd. Anos,74
Ano,Maxima
1937,40.3
1938,88.5
1939,42.4
1941,139.5
1942,84.4
1943,46.2
1945,62.5
1946,44.2
1947,48.3
1948,11.5
1951,5.3
1952,80.2
1953,100.8
1954,202.1
1955,58.4
1956,96
1957,83.4
1958,78.2
1959,81.6
1960,80.9
1961,82.3
1962,60.7
1963,71.2
1964,93.8
1965,66.5
1966,82.3
1967,115.6
1968,86.7
1969,75.6
1970,56.9
1971,87.3
1972,78.5
1973,98.7
1974,100.4
1975,83.5
1976,70.6
1977,121
1978,87.3
1979,78.5
1980,68.8
1981,96.7
1982,76.4
1983,102.3
1984,52.1
1985,60.3
1986,61.4
1987,84.6
1988,67
1989,113.9
1990,82
1991,97
1992,81
1993,74.7
1994,77.5
1995,79.4
1996,86.1
1997,73
1998,136.1
1999,162.3
2000,64.2
2001,65.9
2002,174
2003,67.9
2004,86.5
2005,66.1
2006,115
2007,78.3
2008,66.2
2009,78.2
2010,73
2011,70.3
2012,41.3
2013,89.1
2014,70.3
