UF,SP
Cidade,IGUAPE
Nome Posto,SUBAUMA
Latitude,-24.816666666666666
Longitude,-47.733333333333334
Codigo,2447032
Qtd. Anos,49
Ano,Maxima
1954,38.5
1955,185
1956,82.5
1957,74.9
1958,247.7
1959,117.6
1960,261.3
1961,58
1962,54
1963,48
1964,70.3
1965,164.5
1966,111.5
1967,129.6
1968,83.6
1969,89.4
1970,76.4
1971,142.3
1972,110.8
1973,151.4
1974,155.3
1975,87.7
1976,57
1977,65.6
1978,47.4
1979,100.4
1980,222.4
1981,214.8
1982,215.6
1983,228.9
1984,192.4
1985,73.9
1986,112.4
1987,82.6
1988,178.4
1989,210.4
1990,210.4
1991,158.2
1992,99.3
1993,123.4
1994,148.3
1995,265.2
1996,210.6
1997,85.6
1998,128.7
1999,158.5
2000,64.7
2001,68.2
2002,144.3
