UF,SP
Cidade,FRANCA
Nome Posto,FAZENDA SASSAFRAS
Latitude,-20.514444444444443
Longitude,-47.245555555555555
Codigo,2047101
Qtd. Anos,39
Ano,Maxima
1981,79
1982,90.8
1983,104.7
1984,121.5
1985,99.5
1986,100.8
1987,65.8
1988,100.5
1989,80.3
1990,119.3
1991,110.9
1992,90.1
1993,80.5
1994,85.6
1995,160
1996,82.6
1997,100
1998,71.8
1999,81.3
2000,98.6
2001,68.8
2002,56
2003,112.5
2004,81
2005,68
2006,44.7
2007,62
2008,110
2009,95.3
2010,142.8
2011,80
2012,50
2013,45
2014,70
2015,62
2016,70.3
2017,70
2018,63.3
2019,73.7
