UF,SP
Cidade,GARCA
Nome Posto,MUNDO NOVO
Latitude,-22.316666666666666
Longitude,-49.766666666666666
Codigo,2249014
Qtd. Anos,48
Ano,Maxima
1971,90.2
1972,131.9
1973,53
1974,72.9
1975,81
1976,86.3
1977,243.4
1978,74.2
1979,93.6
1980,64
1981,52
1982,122.7
1983,126.5
1984,53
1985,76.5
1986,97
1987,116.9
1988,113.7
1989,92
1990,63.7
1991,97.6
1992,80.7
1993,83.3
1994,92
1995,96.3
1996,74.1
1997,38.2
1998,133.4
1999,180.9
2000,149.5
2001,128
2002,88.1
2003,61.4
2004,76.1
2005,67
2006,85.9
2007,78.9
2008,83.3
2009,78.9
2010,42.2
2011,48.1
2012,83.3
2013,112
2014,120
2015,110
2016,105
2017,153
2018,74
