UF,SP
Cidade,AVARE
Nome Posto,AVARE
Latitude,-23.1
Longitude,-48.916666666666664
Codigo,2348008
Qtd. Anos,76
Ano,Maxima
1939,53.3
1940,82.1
1941,78.5
1942,62
1943,69.8
1944,66.7
1945,81.3
1946,64.6
1947,70.6
1948,87.4
1949,73.2
1950,95.3
1951,86.4
1952,76.4
1953,61.5
1954,59.3
1955,140
1956,82
1957,68
1958,63
1959,66
1960,88.8
1961,80.5
1962,89.2
1963,81
1964,106.5
1965,89.3
1966,97.7
1967,68.1
1968,47.4
1969,44.4
1970,93.7
1971,63.3
1972,89.9
1973,66.7
1974,63
1975,59.5
1976,106.5
1977,167.2
1978,64.9
1979,56.2
1980,86.4
1981,62.4
1982,110.2
1983,114.9
1984,56.3
1985,92
1986,93.3
1987,89.7
1988,61.1
1989,76.6
1990,98.5
1991,87.2
1992,67.4
1993,67.5
1994,149.6
1995,109.3
1996,57.3
1997,85.2
1998,106.4
1999,77.4
2000,79.4
2001,74.5
2002,71.2
2003,81.5
2004,90.4
2005,100.7
2006,75.5
2007,75
2008,83
2009,69.8
2010,68.6
2011,67.8
2012,150.3
2013,78.5
2014,86
