UF,SP
Cidade,JUNDIAI
Nome Posto,ERMIDA
Latitude,-23.2
Longitude,-46.983333333333334
Codigo,2346014
Qtd. Anos,60
Ano,Maxima
1938,40
1939,9.1
1957,58.5
1958,97.5
1959,82.5
1960,111
1961,63.5
1962,69.5
1963,65.2
1964,81.2
1965,116.5
1966,127.5
1967,51.4
1968,41
1969,51.7
1970,91.4
1971,58.3
1972,107.7
1973,87.9
1974,104.4
1975,115.1
1976,82.5
1977,96.3
1978,111.4
1979,82.1
1980,61.2
1981,80.1
1982,99.1
1983,108.9
1984,52.1
1985,106.1
1986,110.7
1987,148.7
1988,84
1989,63.1
1990,57.5
1991,79.3
1992,42.4
1993,82.8
1994,133
1995,103.5
1996,71.5
1997,46.9
1998,73.5
1999,85.2
2000,65.7
2001,95.3
2002,96.9
2003,158.1
2004,86.1
2005,125.2
2006,107.8
2007,71.2
2008,89.7
2009,99.3
2010,56
2011,80
2012,78.5
2013,102.9
2014,104.1
