UF,SP
Cidade,POMPEIA
Nome Posto,POMPEIA
Latitude,-22.116666666666667
Longitude,-50.2
Codigo,2250006
Qtd. Anos,65
Ano,Maxima
1936,50.5
1937,54
1938,92.8
1939,92
1940,72.2
1941,65.2
1942,78.3
1943,94.1
1944,76.4
1945,63
1946,80.2
1947,63
1948,71
1949,42.6
1950,61
1951,115
1952,28
1953,28
1954,9.6
1955,60.2
1956,86
1957,80
1958,141
1959,69
1960,59.5
1961,60
1962,76.5
1963,68.4
1964,81
1965,136
1966,126
1967,82
1968,141
1969,46.3
1970,97.8
1971,90.6
1972,138.3
1973,52.9
1974,85.5
1975,67.4
1976,80.8
1977,84.4
1978,64.9
1979,69.5
1980,60.6
1981,73.7
1982,68.3
1983,85.5
1984,81.3
1985,69.4
1986,73
1987,73.5
1988,106.2
1989,86.8
1990,78.3
1991,84.8
1992,78.5
1993,102.5
1994,105
1995,82
1996,74.9
1997,91
1998,58
1999,92.5
2000,69
