UF,SP
Cidade,PEDRA BELA
Nome Posto,PEDRA BELA
Latitude,-22.8
Longitude,-46.45
Codigo,2246095
Qtd. Anos,75
Ano,Maxima
1940,29.4
1941,100.4
1942,43
1943,60.2
1944,45
1945,10.9
1946,12.5
1947,12.8
1948,10.2
1949,14.7
1950,13
1951,8.2
1952,10.6
1953,45.2
1954,80.7
1955,50.6
1956,74.2
1957,84.3
1958,70.2
1959,45.6
1960,50.4
1961,50.3
1962,45.2
1963,40.3
1964,45.2
1965,50.2
1966,49.6
1967,62.5
1968,44.5
1969,54.6
1970,48.6
1971,32.1
1972,110.5
1973,69
1974,65.6
1975,100.8
1976,79.3
1977,76.8
1978,65.5
1979,52.1
1980,59.8
1981,83.9
1982,104.6
1983,104.6
1984,70.8
1985,62
1986,65
1987,63.4
1988,83.8
1989,100.3
1990,61.5
1991,83
1992,58
1993,56
1994,85
1995,78.2
1996,58.2
1997,61.2
1998,37.9
1999,38.5
2000,43.1
2001,38.9
2002,37.9
2003,63.3
2004,63
2005,75.5
2006,60
2007,76.9
2008,62.3
2009,39.3
2010,43.1
2011,82.3
2012,74.3
2013,53.6
2014,70.6
