UF,SP
Cidade,CAMPOS DO JORDAO
Nome Posto,VILA CAPIVARI
Latitude,-22.716666666666665
Longitude,-45.56666666666667
Codigo,2245018
Qtd. Anos,81
Ano,Maxima
1937,88.7
1938,70.7
1939,87.9
1940,81.5
1941,221.2
1942,126.3
1943,56.3
1944,45
1945,90.8
1946,41
1947,40.8
1948,42.2
1949,50.2
1950,52.9
1951,45.5
1952,40.2
1953,43.3
1954,92.4
1955,56.4
1956,65
1957,85
1958,76.3
1959,58.2
1960,123.2
1961,98.2
1962,95.2
1963,75
1964,92
1965,86.5
1966,54.6
1967,57.5
1968,60.7
1969,97.6
1970,141.5
1971,80.2
1972,67.6
1973,86.8
1974,54
1975,40.9
1976,84.1
1977,87.4
1978,75.5
1979,81.7
1980,62.1
1981,70.2
1982,84.5
1983,50.2
1984,44.4
1985,43.6
1986,50.7
1987,47.6
1988,49.5
1989,94.6
1990,73
1991,92
1992,86
1993,79.5
1994,84.3
1995,105.8
1996,55.7
1997,64.5
1998,55.6
1999,53.1
2000,117.7
2001,57.9
2002,73
2003,63.2
2004,72.6
2005,79.7
2006,99.5
2007,69.3
2008,57.4
2009,100
2010,54.3
2011,63
2012,76.9
2013,85.5
2014,37.1
2015,57.6
2016,63.8
2017,110
