UF,SP
Cidade,DESCALVADO
Nome Posto,FAZENDA MONTE ALEGRE
Latitude,-21.95
Longitude,-47.7
Codigo,2147037
Qtd. Anos,62
Ano,Maxima
1939,106.7
1940,71.3
1941,76.5
1942,101
1943,65.1
1944,62
1945,78
1946,55.5
1947,104
1948,67.5
1949,67.5
1950,83
1951,68
1952,51
1953,72.8
1954,60
1955,42.3
1956,47.8
1957,93.5
1958,71.2
1959,64.2
1960,59.7
1961,58.4
1962,60.2
1963,43.7
1964,68.1
1965,49
1966,78
1967,54.5
1968,35
1969,61.5
1970,61.3
1971,51.6
1972,97.2
1973,65.6
1974,134.4
1975,97.4
1976,79.1
1977,84.7
1978,81.6
1979,75.5
1980,176.4
1981,102.6
1982,57.6
1983,116.8
1984,68.8
1985,85.7
1986,84.6
1987,110
1988,75
1989,97.7
1990,69.8
1991,100
1992,61
1993,71.2
1994,84.2
1995,95
1996,108.5
1997,67.7
1998,71.8
1999,88.1
2000,95
