UF,SP
Cidade,CASSIA DOS COQUEIROS
Nome Posto,CASSIA DOS COQUEIROS
Latitude,-21.283333333333335
Longitude,-47.166666666666664
Codigo,2147069
Qtd. Anos,43
Ano,Maxima
1972,78.2
1973,67.2
1974,76.5
1975,106.5
1976,81.8
1977,63.7
1978,55
1979,60.8
1980,91.4
1981,138.3
1982,94.9
1983,169.4
1984,48.3
1985,56
1986,63.5
1987,62.5
1988,68.8
1989,65.8
1990,48.5
1991,68.7
1992,122
1993,25.3
1994,28.5
1995,25.7
1996,35.7
1997,38.5
1998,22.5
1999,75.1
2000,65.8
2001,65.9
2002,69.2
2003,56.7
2004,56.6
2005,46.6
2006,56.2
2007,60.7
2008,49.9
2009,83
2010,42.8
2011,74.4
2012,48.6
2013,120.6
2014,39.3
