UF,SP
Cidade,BIRITIBA-MIRIM
Nome Posto,FAZENDA N.S. APARECIDA
Latitude,-23.6575
Longitude,-46.0025
Codigo,2346106
Qtd. Anos,52
Ano,Maxima
1968,14
1969,17.8
1970,107.6
1971,91.1
1972,40.9
1973,115.7
1974,66.2
1975,92.4
1976,93.6
1977,86.6
1978,125
1979,86.6
1980,128.7
1981,100.5
1982,99.8
1983,95.9
1984,67.3
1985,80.5
1986,100.9
1987,107
1988,140
1989,140.4
1990,137.2
1991,189.5
1992,132.2
1993,74.9
1994,98.1
1995,50.5
1996,70.5
1997,66.1
1998,91.2
1999,182.7
2000,117.9
2001,73
2002,184.9
2003,76.3
2004,88.4
2005,125.7
2006,198.9
2007,78
2008,53.6
2009,82.7
2010,107.5
2011,84.5
2012,95.3
2013,80.4
2014,83.2
2015,69.8
2016,89.8
2017,55
2018,95.8
2019,94.7
