UF,SP
Cidade,SOROCABA
Nome Posto,EDEN (PIRAJIBU)
Latitude,-23.42027777777778
Longitude,-47.404444444444444
Codigo,2347059
Qtd. Anos,80
Ano,Maxima
1939,45.5
1940,71.4
1941,61.2
1942,87.2
1943,50.2
1944,44.5
1945,69.2
1946,75.2
1947,82.4
1948,95.6
1949,96.2
1950,62.4
1951,78
1952,88
1953,57.4
1954,46.6
1955,86.3
1956,73.8
1957,56.6
1958,89
1959,63
1960,106
1961,54.6
1962,65.2
1963,74.8
1964,73
1965,63.4
1966,98.8
1967,52
1968,64.2
1969,55.1
1970,75.9
1971,57.9
1972,70.9
1973,58.9
1974,61.9
1975,55.8
1976,55.9
1977,49.6
1978,76.8
1979,54.1
1980,61.8
1981,105.8
1982,157.2
1983,146
1984,55.9
1985,71.5
1986,95.4
1987,103
1988,62.5
1989,777.7
1990,56
1991,65.9
1992,28
1993,36.8
1994,57.6
1995,57.8
1996,75.9
1997,82.8
1998,51.5
1999,68.9
2000,77.8
2001,65.3
2002,53.5
2003,42.5
2004,82.3
2005,54.6
2006,34.9
2007,26.5
2008,70
2009,78
2010,70
2011,63
2012,80
2013,20
2014,54
2015,44
2016,40
2017,62
2018,30
