UF,SP
Cidade,GUAPIARA
Nome Posto,CAPELA DO ALTO
Latitude,-24.216666666666665
Longitude,-48.45
Codigo,2448053
Qtd. Anos,39
Ano,Maxima
1948,61.5
1949,75.1
1950,114
1951,65.2
1952,73.1
1953,42.8
1954,112.1
1955,54.1
1956,108.3
1957,79.2
1958,66.1
1959,49.9
1960,77.7
1961,84
1962,61.1
1963,88
1964,52.8
1965,85.6
1966,66
1967,64.5
1968,51.5
1969,80
1971,62.5
1982,32.8
1983,89
1984,62.3
1985,56.7
1986,55.2
1987,67.8
1988,79.5
1989,102
1990,72
1991,123.3
1992,61.4
1993,82.2
1994,61.7
1995,85.2
1996,43.5
1997,73.7
