UF,SP
Cidade,RIBEIRAO PRETO
Nome Posto,CLUBE DE REGATAS
Latitude,-21.1
Longitude,-47.75
Codigo,2147004
Qtd. Anos,70
Ano,Maxima
1945,96.7
1946,62.5
1947,67
1948,70.3
1949,90.2
1950,209.1
1951,73.6
1952,74.3
1953,73.4
1954,68.6
1955,58.8
1956,205.4
1957,56.8
1958,54.5
1959,64.4
1960,87.6
1961,81.6
1962,103.6
1963,78.4
1964,72.3
1965,61.3
1966,68.3
1967,156.8
1968,41.7
1969,53.5
1970,55.6
1971,75.7
1972,72.8
1973,65.4
1974,77.4
1975,130.8
1976,69.1
1977,68.7
1978,75.4
1979,88.2
1980,96.1
1981,114.8
1982,141.8
1983,100.9
1984,51.4
1985,84.9
1986,126.3
1987,72.1
1988,112.9
1989,92.7
1990,54.5
1991,102.8
1992,63.1
1993,94
1994,59.7
1995,118
1996,85.2
1997,70.5
1998,93
1999,73.3
2000,83
2001,61.6
2002,100
2003,75.7
2004,99.8
2005,95.9
2006,68.3
2007,68.8
2008,76
2009,84.5
2010,101
2011,70.3
2012,46.3
2013,68.7
2014,61.4
