UF,SP
Cidade,VALENTIM GENTIL
Nome Posto,VALENTIM GENTIL
Latitude,-20.433333333333334
Longitude,-50.06666666666667
Codigo,2050011
Qtd. Anos,56
Ano,Maxima
1959,46
1960,51.6
1961,90
1962,86.6
1963,114
1964,87.4
1965,53.3
1966,77.4
1967,65.3
1968,50.5
1969,48.3
1970,98
1971,80.2
1972,93
1973,93.8
1974,91.3
1975,65
1976,72
1977,112.1
1978,82.9
1979,76.7
1980,74.3
1981,68.4
1982,69.4
1983,75.9
1984,77.1
1985,137.6
1986,83.8
1987,59.5
1988,57.4
1989,140
1990,63.8
1991,96.8
1992,73.3
1993,80.7
1994,56.7
1995,68.4
1996,55.8
1997,127.1
1998,62
1999,67.8
2000,69
2001,54.1
2002,64.7
2003,71.1
2004,77.8
2005,109.3
2006,100.2
2007,102.3
2008,76.4
2009,79
2010,59.4
2011,96.3
2012,95.1
2013,79
2014,55
