UF,SP
Cidade,IGARAPAVA
Nome Posto,IGARAPAVA
Latitude,-20.033333333333335
Longitude,-47.75
Codigo,2047002
Qtd. Anos,59
Ano,Maxima
1942,51.3
1943,55
1944,80.7
1945,64.9
1946,121.1
1947,81.2
1948,75
1949,123.9
1950,87.1
1951,82
1952,70.3
1953,78.5
1954,52
1955,69.8
1956,79.8
1957,68.2
1958,59.7
1959,126.1
1960,93
1961,83.7
1962,62.1
1963,48.2
1964,122.1
1965,80.5
1966,82.7
1967,76.8
1968,80.8
1969,145.2
1970,90.5
1971,52.8
1972,57.7
1973,63.3
1974,89
1975,94.5
1976,87.5
1977,69.1
1978,79.5
1979,61.5
1980,73.1
1981,51.4
1982,96.1
1983,84.7
1984,78.4
1985,84.7
1986,167.4
1987,163.7
1988,98.4
1989,218.4
1990,83.3
1991,80.5
1992,130.6
1993,137.4
1994,93.7
1995,114.8
1996,116.4
1997,245
1998,138.6
1999,201.2
2000,90.3
