UF,SP
Cidade,PITANGUEIRAS
Nome Posto,PITANGUEIRAS
Latitude,-21.05
Longitude,-48.266666666666666
Codigo,2148001
Qtd. Anos,74
Ano,Maxima
1941,67
1942,67.5
1943,65
1944,140
1945,61
1946,58.5
1947,61.6
1948,60
1949,97.2
1950,96.4
1951,72
1952,83.6
1953,64
1954,79.7
1955,80.1
1956,89.6
1957,66.6
1958,60
1959,90.2
1960,97
1961,81.8
1962,77
1963,70.5
1964,105.6
1965,75
1966,70.3
1967,138.6
1968,54.3
1969,60.1
1970,44.3
1971,96.8
1972,55.8
1973,53.4
1974,100.5
1975,65.3
1976,73.9
1977,74.1
1978,102.3
1979,127.3
1980,62.8
1981,48.7
1982,141.6
1983,103.7
1984,56.1
1985,69.4
1986,64.3
1987,85.3
1988,85.8
1989,82.7
1990,63.7
1991,87.8
1992,87.7
1993,57.5
1994,52
1995,68.3
1996,58.9
1997,63.3
1998,81.8
1999,81.1
2000,133
2001,78.2
2002,62.1
2003,81.5
2004,110.1
2005,81
2006,85.4
2007,81
2008,103
2009,104.1
2010,109.4
2011,68.3
2012,63.1
2013,108
2014,41
