UF,SP
Cidade,VOTUPORANGA
Nome Posto,CRUZEIRO
Latitude,-20.5
Longitude,-49.95
Codigo,2049011
Qtd. Anos,52
Ano,Maxima
1963,101.7
1964,58
1965,77.2
1966,106.7
1967,82
1968,76.3
1969,108.3
1970,67
1971,99.6
1972,70.7
1973,79.3
1974,76
1975,90.8
1976,74.6
1977,94.5
1978,98.1
1979,75.2
1980,165.8
1981,106.3
1982,106.6
1983,123.2
1984,84.3
1985,111.6
1986,51.3
1987,56.3
1988,73.4
1989,88.6
1990,148.8
1991,73.8
1992,64.1
1993,66.2
1994,98.6
1995,85.1
1996,92.6
1997,92.6
1998,49.7
1999,37.8
2000,69.7
2001,86.2
2002,67.5
2003,76.8
2004,94.3
2005,77.6
2006,47.1
2007,154.4
2008,100.4
2009,108.3
2010,66.6
2011,115.2
2012,90.7
2013,88.5
2014,70.2
