UF,SP
Cidade,APARECIDA
Nome Posto,BONFIM
Latitude,-22.95
Longitude,-45.25
Codigo,2245053
Qtd. Anos,54
Ano,Maxima
1957,47.8
1958,103.9
1959,97.8
1960,111.5
1961,75
1962,72
1963,51
1964,102.6
1965,58.2
1966,77.4
1967,54.2
1968,76.7
1969,62.2
1970,55.9
1971,125.3
1972,47
1973,51.2
1974,71.6
1975,55.8
1976,98.1
1977,72.3
1978,85.7
1979,89.2
1980,62.6
1981,64
1982,87.4
1983,63.7
1984,55.1
1985,72.3
1986,58.8
1987,71.3
1988,82.9
1989,69.6
1990,35
1991,78.8
1992,86
1993,79.2
1994,68.1
1995,66.8
1996,79.6
1997,84.5
1998,57.5
1999,74.5
2000,148.7
2001,56.4
2002,31.5
2003,78.1
2004,47.2
2005,63.4
2006,63.1
2007,64.9
2009,72.1
2010,62.6
2011,45
