UF,SP
Cidade,TEJUPA
Nome Posto,TEJUPA
Latitude,-23.333333333333332
Longitude,-49.36666666666667
Codigo,2349013
Qtd. Anos,62
Ano,Maxima
1939,75.1
1940,72.5
1941,62.1
1942,79.2
1943,65.9
1944,58.6
1945,72.1
1946,60.9
1947,59.2
1948,67.5
1949,62.4
1950,47.5
1951,82.9
1952,62.6
1953,73.2
1954,42
1955,79.2
1956,127
1957,91.7
1958,75.2
1959,88.2
1960,68.8
1961,88.6
1962,63
1963,71
1964,85.7
1965,125.4
1966,65.5
1967,70
1968,90
1969,52
1970,77.8
1971,70
1972,85.2
1973,110.5
1974,90.5
1975,74.5
1976,89.9
1977,63.8
1978,82.3
1979,76.6
1980,95.4
1981,70.2
1982,75.5
1983,96.8
1984,66.3
1985,60.3
1986,87.6
1987,81.4
1988,69.1
1989,89.8
1990,85.9
1991,61.2
1992,82.1
1993,74.8
1994,114.1
1995,82.6
1996,97.4
1997,159.6
1998,107.6
1999,45
2000,65.8
