UF,SP
Cidade,JUQUITIBA
Nome Posto,JUQUITIBA - II
Latitude,-23.93277777777778
Longitude,-47.07277777777778
Codigo,2347062
Qtd. Anos,69
Ano,Maxima
1952,53.6
1953,61.6
1954,91
1955,76.8
1956,167
1957,72.6
1958,116.6
1959,84.4
1960,58
1961,95.8
1962,77.4
1963,65.8
1964,56.6
1965,63.4
1966,75.4
1967,93.6
1968,56.4
1969,105.4
1970,75
1971,49.6
1972,68
1973,101.2
1974,106
1975,119.3
1976,138
1977,54.4
1978,61.8
1979,76
1980,45
1981,54.8
1982,93.2
1983,71.6
1984,61.8
1985,41.8
1986,116.2
1987,92.4
1988,62.1
1989,777.7
1990,41.1
1991,76.5
1992,51.9
1993,126.8
1994,110.7
1995,38.3
1996,94.8
1997,70.3
1998,67.4
1999,57.3
2000,125.8
2001,134.4
2002,54.5
2003,70.1
2004,82.9
2005,115.5
2006,64.4
2007,47.2
2008,35.6
2009,70.3
2010,81.1
2011,52.4
2012,100.2
2013,107.6
2014,60.1
2015,75
2016,81.6
2017,57
2018,81.2
2019,80.6
2020,90
