UF,SP
Cidade,MARTINOPOLIS
Nome Posto,TECAINDA
Latitude,-21.999722222222225
Longitude,-51.13333333333333
Codigo,2151051
Qtd. Anos,48
Ano,Maxima
1971,237
1972,94
1973,74
1974,73
1975,128.3
1976,53.4
1977,70
1978,77.5
1979,102.8
1980,156.6
1981,73.4
1982,77.4
1983,55.3
1984,88.1
1985,87
1986,84.2
1987,97.2
1988,84.7
1989,90.2
1990,80.2
1991,87.4
1992,85
1993,87
1994,71.2
1995,67.3
1996,68
1997,56
1998,73.4
1999,59.7
2000,106.7
2001,71
2002,63
2003,48
2004,85
2005,86.3
2006,90.3
2007,82.1
2008,63.9
2009,201.5
2010,95.9
2011,75
2012,90.7
2013,143.5
2014,49.2
2015,111.3
2016,123.4
2017,80.5
2018,83.2
