UF,SP
Cidade,CANANEIA
Nome Posto,PORTO CUBATAO
Latitude,-24.966666666666665
Longitude,-47.95
Codigo,2447078
Qtd. Anos,47
Ano,Maxima
1951,73.2
1952,130.8
1953,147.8
1954,123.6
1955,40.5
1956,160.5
1957,70.8
1958,119.6
1959,130.9
1960,140.8
1961,166.9
1962,55.2
1963,55.1
1964,24.5
1965,117.8
1966,133.8
1967,188.5
1968,133.8
1969,182.7
1970,82
1971,175.5
1972,123.4
1973,212.6
1974,77.1
1975,246.3
1976,303.1
1977,126.4
1978,200.5
1979,155.9
1980,140.1
1981,144.1
1982,95.7
1983,205.9
1984,195.7
1985,84.2
1986,114.5
1987,66.1
1988,85.1
1989,142.8
1990,61.7
1994,32.3
1995,149.8
1996,78.2
1997,112.7
1998,142.3
1999,101.7
2000,53.4
