UF,SP
Cidade,CRISTAIS PAULISTA
Nome Posto,VALE DO PRATA
Latitude,-20.35
Longitude,-47.35
Codigo,2047013
Qtd. Anos,44
Ano,Maxima
1965,69.7
1966,57.7
1967,67.3
1968,85.4
1969,112
1970,78.5
1971,109
1972,64
1973,67
1974,42
1975,40.4
1976,80.2
1977,50.9
1978,75.5
1979,58.9
1980,112.7
1981,76.8
1982,62.2
1983,98.5
1984,93.5
1985,78.9
1986,59.7
1987,57.4
1988,63.7
1989,80
1990,90.3
1991,70.8
1992,66.2
1993,73.2
1994,100.2
1995,94.8
1996,69.7
1997,174.6
1998,69.3
1999,98.8
2000,160.7
2001,53.7
2002,51
2003,105
2004,98
2005,53.2
2006,107.6
2007,53
2008,170
